station,hour,avg_pickup_count
"High Holborn , Covent Garden",15,2.7859237536656893
"High Holborn , Covent Garden",16,3.1420765027322406
"High Holborn , Covent Garden",17,5.575520833333333
"High Holborn , Covent Garden",18,6.392
"High Holborn , Covent Garden",19,3.97953216374269
"High Holborn , Covent Garden",20,2.930817610062893
"High Holborn , Covent Garden",21,2.2574626865671643
"High Holborn , Covent Garden",22,2.2457627118644066
"High Holborn , Covent Garden",23,1.6666666666666667
"Hinde Street, Marylebone",0,1.2857142857142858
"Hinde Street, Marylebone",1,1.2258064516129032
"Hinde Street, Marylebone",2,1.0909090909090908
"Hinde Street, Marylebone",3,1.3333333333333333
"Hinde Street, Marylebone",4,1.0
"Hinde Street, Marylebone",5,1.1666666666666667
"Hinde Street, Marylebone",6,1.1044776119402986
"Hinde Street, Marylebone",7,1.1891891891891893
"Hinde Street, Marylebone",8,2.4521072796934864
"Hinde Street, Marylebone",9,2.3044982698961936
"Hinde Street, Marylebone",10,1.9701492537313432
"Hinde Street, Marylebone",11,2.235294117647059
"Hinde Street, Marylebone",12,2.9424242424242424
"Hinde Street, Marylebone",13,2.9458689458689458
"Hinde Street, Marylebone",14,3.0697674418604652
"Hinde Street, Marylebone",15,3.6904761904761907
"Hinde Street, Marylebone",16,4.184210526315789
"Hinde Street, Marylebone",17,6.267195767195767
"Hinde Street, Marylebone",18,5.031662269129288
"Hinde Street, Marylebone",19,3.1976401179941
"Hinde Street, Marylebone",20,2.475
"Hinde Street, Marylebone",21,1.9375
"Hinde Street, Marylebone",22,1.7587939698492463
"Hinde Street, Marylebone",23,1.455223880597015
"Holborn Circus, Holborn",0,1.253968253968254
"Holborn Circus, Holborn",1,1.6470588235294117
"Holborn Circus, Holborn",2,1.48
"Holborn Circus, Holborn",3,1.25
"Holborn Circus, Holborn",4,1.2941176470588236
"Holborn Circus, Holborn",5,1.0
"Holborn Circus, Holborn",6,1.1022727272727273
"Holborn Circus, Holborn",7,1.5560747663551402
"Holborn Circus, Holborn",8,2.2182539682539684
"Holborn Circus, Holborn",9,2.0653061224489795
"Holborn Circus, Holborn",10,1.7330827067669172
"Holborn Circus, Holborn",11,2.0965517241379312
"Holborn Circus, Holborn",12,2.6094674556213016
"Holborn Circus, Holborn",13,2.9410029498525074
"Holborn Circus, Holborn",14,2.5692307692307694
"Holborn Circus, Holborn",15,3.192878338278932
"Holborn Circus, Holborn",16,4.394520547945206
"Holborn Circus, Holborn",17,11.81578947368421
"Holborn Circus, Holborn",18,12.29673590504451
"Holborn Circus, Holborn",19,5.233552631578948
"Holborn Circus, Holborn",20,2.7454545454545456
"Holborn Circus, Holborn",21,1.6266666666666667
"Holborn Circus, Holborn",22,1.5490196078431373
"Holborn Circus, Holborn",23,1.3370786516853932
"Holden Street, Battersea",0,1.2
"Holden Street, Battersea",1,1.3333333333333333
"Holden Street, Battersea",2,1.0
"Holden Street, Battersea",3,1.0
"Holden Street, Battersea",4,1.0
"Holden Street, Battersea",5,1.411764705882353
"Holden Street, Battersea",6,1.3511450381679388
"Holden Street, Battersea",7,2.931972789115646
"Holden Street, Battersea",8,3.4055727554179565
"Holden Street, Battersea",9,1.8897338403041826
"Holden Street, Battersea",10,1.5481927710843373
"Holden Street, Battersea",11,1.4293785310734464
"Holden Street, Battersea",12,1.4444444444444444
"Holden Street, Battersea",13,1.373913043478261
"Holden Street, Battersea",14,1.3363636363636364
"Holden Street, Battersea",15,1.3140495867768596
"Holden Street, Battersea",16,1.588235294117647
"Holden Street, Battersea",17,1.6594594594594594
"Holden Street, Battersea",18,1.5266272189349113
"Holden Street, Battersea",19,1.452991452991453
"Holden Street, Battersea",20,1.2881355932203389
"Holden Street, Battersea",21,1.2352941176470589
"Holden Street, Battersea",22,1.1428571428571428
"Holden Street, Battersea",23,1.0
"Holland Park, Kensington",0,1.2105263157894737
"Holland Park, Kensington",1,1.434782608695652
"Holland Park, Kensington",2,1.5
"Holland Park, Kensington",3,1.5
"Holland Park, Kensington",4,1.1428571428571428
"Holland Park, Kensington",5,1.0
"Holland Park, Kensington",6,1.1607142857142858
"Holland Park, Kensington",7,1.3194444444444444
