station,hour,dropoff_count
"Aberfeldy Street, Poplar",8,1.4658385093167703
"Aberfeldy Street, Poplar",9,1.1772151898734178
"Aberfeldy Street, Poplar",10,1.0909090909090908
"Aberfeldy Street, Poplar",11,1.0571428571428572
"Aberfeldy Street, Poplar",12,1.2142857142857142
"Aberfeldy Street, Poplar",13,1.1041666666666667
"Aberfeldy Street, Poplar",14,1.2115384615384615
"Aberfeldy Street, Poplar",15,1.202127659574468
"Aberfeldy Street, Poplar",16,1.4608695652173913
"Aberfeldy Street, Poplar",17,1.6256983240223464
"Aberfeldy Street, Poplar",18,1.6137931034482758
"Aberfeldy Street, Poplar",19,1.4666666666666666
"Aberfeldy Street, Poplar",20,1.3695652173913044
"Aberfeldy Street, Poplar",21,1.337837837837838
"Aberfeldy Street, Poplar",22,1.2394366197183098
"Aberfeldy Street, Poplar",23,1.2
"Abingdon Green, Westminster",0,1.15625
"Abingdon Green, Westminster",1,1.375
"Abingdon Green, Westminster",2,1.5384615384615385
"Abingdon Green, Westminster",3,1.0
"Abingdon Green, Westminster",4,1.0147058823529411
"Abingdon Green, Westminster",5,1.0
"Abingdon Green, Westminster",6,1.2884615384615385
"Abingdon Green, Westminster",7,2.6990291262135924
"Abingdon Green, Westminster",8,8.757575757575758
"Abingdon Green, Westminster",9,6.626086956521739
"Abingdon Green, Westminster",10,2.811224489795918
"Abingdon Green, Westminster",11,2.6956521739130435
"Abingdon Green, Westminster",12,2.6042780748663104
"Abingdon Green, Westminster",13,2.528205128205128
"Abingdon Green, Westminster",14,2.671641791044776
"Abingdon Green, Westminster",15,2.386904761904762
"Abingdon Green, Westminster",16,2.469945355191257
"Abingdon Green, Westminster",17,2.4918918918918918
"Abingdon Green, Westminster",18,2.6858638743455496
"Abingdon Green, Westminster",19,1.816
"Abingdon Green, Westminster",20,1.7945205479452055
"Abingdon Green, Westminster",21,1.3970588235294117
"Abingdon Green, Westminster",22,1.3529411764705883
"Abingdon Green, Westminster",23,1.3488372093023255
"Abingdon Villas, Kensington",0,1.0666666666666667
"Abingdon Villas, Kensington",1,1.4
"Abingdon Villas, Kensington",2,1.0
"Abingdon Villas, Kensington",3,1.0
"Abingdon Villas, Kensington",4,1.0
"Abingdon Villas, Kensington",5,1.0
"Abingdon Villas, Kensington",6,1.0
