station,hour,dropoff_count
"Aberfeldy Street, Poplar",7,1.1111111111111112
"Aberfeldy Street, Poplar",8,1.1333333333333333
"Aberfeldy Street, Poplar",9,1.2352941176470589
"Aberfeldy Street, Poplar",10,1.25
"Aberfeldy Street, Poplar",11,1.2903225806451613
"Aberfeldy Street, Poplar",12,1.28125
"Aberfeldy Street, Poplar",13,1.2758620689655173
"Aberfeldy Street, Poplar",14,1.2258064516129032
"Aberfeldy Street, Poplar",15,1.59375
"Aberfeldy Street, Poplar",16,1.3333333333333333
"Aberfeldy Street, Poplar",17,1.7045454545454546
"Aberfeldy Street, Poplar",18,1.5263157894736843
"Aberfeldy Street, Poplar",19,1.40625
"Aberfeldy Street, Poplar",20,1.4193548387096775
"Aberfeldy Street, Poplar",21,1.2105263157894737
"Aberfeldy Street, Poplar",22,1.45
"Aberfeldy Street, Poplar",23,1.5454545454545454
"Abingdon Green, Westminster",0,2.090909090909091
"Abingdon Green, Westminster",1,1.0833333333333333
"Abingdon Green, Westminster",2,1.3
"Abingdon Green, Westminster",3,1.75
"Abingdon Green, Westminster",4,1.3
"Abingdon Green, Westminster",5,1.1428571428571428
"Abingdon Green, Westminster",6,1.0
"Abingdon Green, Westminster",7,1.7407407407407407
"Abingdon Green, Westminster",8,1.4423076923076923
"Abingdon Green, Westminster",9,2.3333333333333335
"Abingdon Green, Westminster",10,2.9272727272727272
"Abingdon Green, Westminster",11,2.9857142857142858
"Abingdon Green, Westminster",12,3.6578947368421053
"Abingdon Green, Westminster",13,3.6794871794871793
"Abingdon Green, Westminster",14,3.6538461538461537
"Abingdon Green, Westminster",15,3.638888888888889
"Abingdon Green, Westminster",16,3.5217391304347827
"Abingdon Green, Westminster",17,3.3220338983050848
"Abingdon Green, Westminster",18,3.3653846153846154
"Abingdon Green, Westminster",19,2.272727272727273
"Abingdon Green, Westminster",20,1.9
"Abingdon Green, Westminster",21,1.9615384615384615
"Abingdon Green, Westminster",22,1.5909090909090908
"Abingdon Green, Westminster",23,1.3076923076923077
"Abingdon Villas, Kensington",0,1.2941176470588236
"Abingdon Villas, Kensington",1,1.2222222222222223
"Abingdon Villas, Kensington",2,1.2857142857142858
"Abingdon Villas, Kensington",3,1.1666666666666667
"Abingdon Villas, Kensington",4,1.0
"Abingdon Villas, Kensington",5,1.0
"Abingdon Villas, Kensington",6,1.0
"Abingdon Villas, Kensington",7,1.05
"Abingdon Villas, Kensington",8,1.2173913043478262
"Abingdon Villas, Kensington",9,1.3255813953488371
"Abingdon Villas, Kensington",10,1.3846153846153846
"Abingdon Villas, Kensington",11,1.75
"Abingdon Villas, Kensington",12,1.9841269841269842
"Abingdon Villas, Kensington",13,2.1578947368421053
"Abingdon Villas, Kensington",14,1.7058823529411764
"Abingdon Villas, Kensington",15,1.8103448275862069
"Abingdon Villas, Kensington",16,2.0161290322580645
"Abingdon Villas, Kensington",17,1.9523809523809523
"Abingdon Villas, Kensington",18,1.8448275862068966
"Abingdon Villas, Kensington",19,1.631578947368421
"Abingdon Villas, Kensington",20,1.59375
"Abingdon Villas, Kensington",21,1.5238095238095237
"Abingdon Villas, Kensington",22,1.0625
"Abingdon Villas, Kensington",23,1.2666666666666666
"Ackroyd Drive, Bow",0,2.106060606060606
"Ackroyd Drive, Bow",1,1.4222222222222223
"Ackroyd Drive, Bow",2,1.4444444444444444
"Ackroyd Drive, Bow",3,1.2083333333333333
"Ackroyd Drive, Bow",4,1.1333333333333333
"Ackroyd Drive, Bow",5,1.1818181818181819
"Ackroyd Drive, Bow",6,1.125
"Ackroyd Drive, Bow",7,1.2
"Ackroyd Drive, Bow",8,1.1363636363636365
"Ackroyd Drive, Bow",9,1.4545454545454546
"Ackroyd Drive, Bow",10,1.5769230769230769
"Ackroyd Drive, Bow",11,1.71875
"Ackroyd Drive, Bow",12,1.9705882352941178
"Ackroyd Drive, Bow",13,2.0428571428571427
"Ackroyd Drive, Bow",14,2.2142857142857144
"Ackroyd Drive, Bow",15,2.039473684210526
"Ackroyd Drive, Bow",16,2.45
"Ackroyd Drive, Bow",17,2.611940298507463
"Ackroyd Drive, Bow",18,2.927710843373494
"Ackroyd Drive, Bow",19,2.5058823529411764
"Ackroyd Drive, Bow",20,1.763157894736842
"Ackroyd Drive, Bow",21,2.1451612903225805
"Ackroyd Drive, Bow",22,2.2857142857142856
"Ackroyd Drive, Bow",23,2.3454545454545452
"Ada Street, Hackney Central",0,1.5
"Ada Street, Hackney Central",1,1.3333333333333333
"Ada Street, Hackney Central",2,1.1428571428571428
"Ada Street, Hackney Central",3,1.5
"Ada Street, Hackney Central",4,1.1666666666666667
"Ada Street, Hackney Central",6,1.1666666666666667
"Ada Street, Hackney Central",7,1.1428571428571428
"Ada Street, Hackney Central",8,1.3333333333333333
"Ada Street, Hackney Central",9,2.1780821917808217
"Ada Street, Hackney Central",10,2.8688524590163933
"Ada Street, Hackney Central",11,3.323943661971831
"Ada Street, Hackney Central",12,3.32
"Ada Street, Hackney Central",13,3.933333333333333
"Ada Street, Hackney Central",14,3.7066666666666666
"Ada Street, Hackney Central",15,2.8472222222222223
"Ada Street, Hackney Central",16,2.971830985915493
"Ada Street, Hackney Central",17,2.537313432835821
"Ada Street, Hackney Central",18,2.1791044776119404
"Ada Street, Hackney Central",19,2.0517241379310347
"Ada Street, Hackney Central",20,1.6
"Ada Street, Hackney Central",21,1.962962962962963
"Ada Street, Hackney Central",22,1.5135135135135136
"Ada Street, Hackney Central",23,1.3928571428571428
"Addison Road, Holland Park",0,1.0
"Addison Road, Holland Park",1,1.1666666666666667
"Addison Road, Holland Park",2,1.1428571428571428
"Addison Road, Holland Park",3,1.0
"Addison Road, Holland Park",4,1.0
"Addison Road, Holland Park",5,1.0
"Addison Road, Holland Park",6,1.0
"Addison Road, Holland Park",7,1.125
"Addison Road, Holland Park",8,1.3181818181818181
"Addison Road, Holland Park",9,1.605263157894737
"Addison Road, Holland Park",10,1.5869565217391304
"Addison Road, Holland Park",11,1.6538461538461537
"Addison Road, Holland Park",12,1.4893617021276595
"Addison Road, Holland Park",13,1.5135135135135136
"Addison Road, Holland Park",14,1.7
"Addison Road, Holland Park",15,1.5106382978723405
"Addison Road, Holland Park",16,1.5357142857142858
"Addison Road, Holland Park",17,1.7234042553191489
"Addison Road, Holland Park",18,1.5121951219512195
"Addison Road, Holland Park",19,1.4878048780487805
"Addison Road, Holland Park",20,1.2413793103448276
"Addison Road, Holland Park",21,1.3571428571428572
"Addison Road, Holland Park",22,1.5384615384615385
"Addison Road, Holland Park",23,1.4
"Aintree Street, Fulham",0,1.6730769230769231
"Aintree Street, Fulham",1,1.3448275862068966
"Aintree Street, Fulham",2,1.25
"Aintree Street, Fulham",3,1.0714285714285714
"Aintree Street, Fulham",4,1.25
"Aintree Street, Fulham",5,1.0
"Aintree Street, Fulham",6,1.0
"Aintree Street, Fulham",7,1.2
"Aintree Street, Fulham",8,1.1428571428571428
"Aintree Street, Fulham",9,1.5952380952380953
"Aintree Street, Fulham",10,1.4594594594594594
"Aintree Street, Fulham",11,2.0535714285714284
"Aintree Street, Fulham",12,1.9365079365079365
"Aintree Street, Fulham",13,1.890625
"Aintree Street, Fulham",14,2.1052631578947367
"Aintree Street, Fulham",15,1.9682539682539681
"Aintree Street, Fulham",16,2.3043478260869565
"Aintree Street, Fulham",17,2.2
"Aintree Street, Fulham",18,2.361111111111111
"Aintree Street, Fulham",19,2.323943661971831
"Aintree Street, Fulham",20,2.0491803278688523
"Aintree Street, Fulham",21,1.9361702127659575
"Aintree Street, Fulham",22,2.130434782608696
"Aintree Street, Fulham",23,1.9268292682926829
"Albany Street, The Regent's Park",0,1.2857142857142858
"Albany Street, The Regent's Park",1,1.4074074074074074
"Albany Street, The Regent's Park",2,1.0714285714285714
"Albany Street, The Regent's Park",3,1.0714285714285714
"Albany Street, The Regent's Park",4,1.0
"Albany Street, The Regent's Park",5,1.0
"Albany Street, The Regent's Park",6,1.125
"Albany Street, The Regent's Park",7,1.5714285714285714
"Albany Street, The Regent's Park",8,1.3846153846153846
"Albany Street, The Regent's Park",9,1.9069767441860466
"Albany Street, The Regent's Park",10,1.7
"Albany Street, The Regent's Park",11,2.7205882352941178
"Albany Street, The Regent's Park",12,2.4545454545454546
"Albany Street, The Regent's Park",13,3.1470588235294117
"Albany Street, The Regent's Park",14,3.1948051948051948
"Albany Street, The Regent's Park",15,2.869565217391304
"Albany Street, The Regent's Park",16,2.6666666666666665
"Albany Street, The Regent's Park",17,2.962962962962963
"Albany Street, The Regent's Park",18,2.9859154929577465
"Albany Street, The Regent's Park",19,2.1363636363636362
"Albany Street, The Regent's Park",20,2.098360655737705
