station,total_pickup,total_dropoff,net_flow,latitude,longitude,cluster_id,type
"Abbey Orchard Street, Westminster",7512.0,7692,-180.0,51.4983299,-0.1314542,3,weekday
"Abbey Orchard Street, Westminster_OLD",3856.0,3878,-22.0,51.4983299,-0.1314542,3,weekday
"Abbotsbury Road, Holland Park",4116.0,2932,1184.0,51.5020417,-0.20652,2,weekend
"Aberdeen Place, St. John's Wood",8064.0,5505,2559.0,51.5254041,-0.1753114,5,weekend
"Aberfeldy Street, Poplar",3718.0,3061,657.0,51.5139444,-0.005761,0,weekend
"Abingdon Green, Westminster",12623.0,12157,466.0,51.49764,-0.125972,3,weekday
"Abingdon Villas, Kensington",7101.0,5876,1225.0,51.4979457,-0.1948575,2,weekday
"Ackroyd Drive, Bow",14478.0,10837,3641.0,51.5194899,-0.0282687,0,weekday
"Ada Street, Hackney Central",10267.0,8809,1458.0,51.5357937,-0.0610596,4,weekend
"Addison Road, Holland Park",5561.0,4610,951.0,51.5013875,-0.2084082,2,weekday
"Aintree Street, Fulham",11080.0,8039,3041.0,51.4805892,-0.2109815,2,weekday
"Albany Street, The Regent's Park",12919.0,8499,4420.0,51.5298453,-0.1444671,5,weekend
"Albert Bridge Road, Battersea Park",12901.0,10205,2696.0,51.4778591,-0.1647522,1,weekday
"Albert Embankment, Vauxhall",6316.0,4632,1684.0,51.489512,-0.1229158,3,weekday
"Albert Embankment, Vauxhall_OLD",2328.0,2204,124.0,51.489512,-0.1229158,3,weekday
"Albert Gardens, Stepney",10443.0,7716,2727.0,51.5128646,-0.0468479,0,weekend
"Albert Gate, Hyde Park",42209.0,31779,10430.0,51.502953,-0.158456,5,weekend
"Albert Square, Stockwell",12076.0,9282,2794.0,51.477001,-0.1192634,3,weekday
"Albert Street, Camden Town",664.0,673,-9.0,51.5374624,-0.1444678,5,weekend
"Alderney Street, Pimlico",15418.0,11678,3740.0,51.4894849,-0.1436371,3,weekend
"Aldersgate Street, Barbican",21205.0,17668,3537.0,51.519459,-0.0971619,4,weekday
"Alfreda Street, Battersea Park",9961.0,7859,2102.0,51.47534169999999,-0.1510821,1,weekend
"All Saints Church, Portobello",15306.0,12374,2932.0,51.5153904,-0.2046795,2,weekend
"All Saints' Road, Portobello",6415.0,4927,1488.0,51.5170002,-0.205847,2,weekend
"Allington Street, Victoria",26340.0,21594,4746.0,51.4973927,-0.142789,3,weekday
"Alma Road, Wandsworth",3965.0,2333,1632.0,51.4592388,-0.1859361,1,weekday
"Alpha Grove, Millwall",4546.0,3886,660.0,51.4996041,-0.0229785,0,weekend
"Ampton Street , Clerkenwell",8894.0,6932,1962.0,51.5275027,-0.1172898,3,weekday
"Ansell House, Stepney",13045.0,10526,2519.0,51.5196449,-0.0549881,0,weekend
"Antill Road, Mile End",8285.0,5879,2406.0,51.5292916,-0.0342322,0,weekend
"Archbishop's Park, Waterloo",7243.0,6265,978.0,51.4971562,-0.1168206,3,weekday
"Argyle Street, Kings Cross",39519.0,32246,7273.0,51.5290418,-0.1235722,5,weekday
"Argyll Road, Kensington",7184.0,5985,1199.0,51.5011949,-0.1962523,2,weekend
"Arlington Road, Camden Town",7615.0,6182,1433.0,51.5386499,-0.1440564,5,weekend
"Arundel Street, Temple",7659.0,6761,898.0,51.5126929,-0.1144468,3,weekday
"Ashley Crescent, Battersea",11769.0,9398,2371.0,51.4665749,-0.1518902,1,weekday
"Ashley Place, Victoria",11736.0,10568,1168.0,51.4961894,-0.1409283,3,weekday
"Ashmole Estate, Oval",9998.0,7790,2208.0,51.4811206,-0.1162002,3,weekday
"Aston Street, Stepney",9472.0,7153,2319.0,51.5161734,-0.0386279,0,weekday
"Austin Road, Battersea Park",11073.0,9040,2033.0,51.4743769,-0.155759,1,weekday
"Aylward Street, Stepney",6961.0,5094,1867.0,51.5155788,-0.0495675,0,weekday
"BBC White City, White City",11198.0,9670,1528.0,51.5141492,-0.2271227,2,weekday
"Baker Street, Marylebone",13512.0,11351,2161.0,51.5205631,-0.1568041,5,weekday
"Baldwin Street, St. Luke's",13898.0,11610,2288.0,51.5269146,-0.0889504,4,weekday
"Bancroft Road, Bethnal Green",10104.0,7166,2938.0,51.5249005,-0.0439324,0,weekday
"Bank of England Museum, Bank",15091.0,13001,2090.0,51.514166,-0.087613,4,weekday
"Bankside Mix, Bankside",12659.0,12288,371.0,51.5081352,-0.095185,4,weekday
"Barbican Centre, Barbican",11913.0,10176,1737.0,51.5202077,-0.0937863999999999,4,weekday
"Barons Court Station, West Kensington",14655.0,12333,2322.0,51.4903021,-0.2134873,2,weekday
"Bath Street, St. Lke's",6578.0,5103,1475.0,51.5267939,-0.0911532,4,weekday
"Bath Street, St. Luke's",13883.0,11964,1919.0,51.5267939,-0.0911532,4,weekday
"Battersea Church Road, Battersea",13160.0,10054,3106.0,51.4774575,-0.1738997,1,weekday
"Battersea Park Road, Nine Elms",32702.0,26421,6281.0,51.4788385,-0.1435522,1,weekend
"Battersea Power Station, Battersea Park",29859.0,23849,6010.0,51.4791075,-0.1564981,1,weekend
"Bayley Street , Bloomsbury",10840.0,8379,2461.0,51.5187572,-0.131684,5,weekday
"Baylis Road, Waterloo",25815.0,21593,4222.0,51.5005001,-0.1109636,3,weekday
"Bayswater Road, Hyde Park",23769.0,15908,7861.0,51.5073638,-0.1641135,5,weekend
"Beaumont Street, Marylebone",12692.0,10492,2200.0,51.5212312,-0.1507246,5,weekday
"Bedford Way, Bloomsbury",8586.0,7203,1383.0,51.5233386,-0.1278897,5,weekday
"Belford House, Haggerston",3775.0,3173,602.0,51.5367962,-0.0705328,4,weekend
"Belgrave Road, Victoria",11824.0,10236,1588.0,51.4920405,-0.1417145,3,weekday
"Belgrave Square, Belgravia",7777.0,6493,1284.0,51.498664,-0.1526797,5,weekday
"Bell Lane, Liverpool Street",15327.0,12712,2615.0,51.5174665,-0.0826359,4,weekday
"Bell Street , Marylebone",11768.0,9643,2125.0,51.5212386,-0.1683953,5,weekday
"Belvedere Road 1, South Bank",13531.0,11519,2012.0,51.5014027,-0.1184721,3,weekday
"Belvedere Road 2, South Bank",9162.0,7872,1290.0,51.5011062,-0.1183857,3,weekday
"Bermondsey Station, Bermondsey",10050.0,8518,1532.0,51.49811219999999,-0.0644696999999999,4,weekend
"Bermondsey Street, Bermondsey",17087.0,13689,3398.0,51.4998433,-0.0814474,4,weekday
"Berry Street, Clerkenwell",14503.0,11837,2666.0,51.5234505,-0.1003176,4,weekday
"Beryl Road, Hammersmith",9673.0,7967,1706.0,51.488661,-0.2208642,2,weekday
"Bethnal Green Garden, Bethnal Green",8246.0,6489,1757.0,51.5261442,-0.0546802,0,weekend
"Bethnal Green Road, Shoreditch",27464.0,22694,4770.0,51.5239139,-0.0739635,4,weekday
"Bevington Road West, North Kensington",9849.0,7604,2245.0,51.5208286,-0.2076577,2,weekend
"Binfield Road, Stockwell",14141.0,11621,2520.0,51.473265,-0.1243758,3,weekday
"Birkenhead Street, King's Cross",17358.0,13889,3469.0,51.5297641,-0.1217653,5,weekday
"Bishop's Avenue, Fulham",8320.0,6597,1723.0,51.4727086,-0.2152671,2,weekend
"Bishop's Bridge Road East, Bayswater",5728.0,3969,1759.0,51.5160994,-0.1874664,2,weekday
"Bishop's Bridge Road West, Bayswater",18030.0,13947,4083.0,51.5160994,-0.1874664,2,weekend
"Black Lion Gate, Kensington Gardens",37147.0,28316,8831.0,51.5088419,-0.1877992,2,weekend
"Black Prince Road, Vauxhall",11668.0,9601,2067.0,51.4907149,-0.1163667,3,weekday
"Blackfriars Road, Southwark",11812.0,10130,1682.0,51.5034706,-0.1045216,3,weekday
"Blackfriars Station, St. Paul's",22548.0,19118,3430.0,51.5115579,-0.1034314,4,weekday
"Blenheim Crescent, Ladbroke Grove",9356.0,7442,1914.0,51.5151394,-0.2083458,2,weekend
"Blythe Road West, Shepherd's Bush",7808.0,6398,1410.0,51.4975275,-0.2167559,2,weekend
"Blythe Road, Olympia",9375.0,7564,1811.0,51.4963566,-0.2107637,2,weekday
"Bolsover Street, Fitzrovia",12354.0,10151,2203.0,51.5219731,-0.1428108,5,weekday
"Bonner Gate, Victoria Park",16037.0,12358,3679.0,51.5333446,-0.0492999,0,weekend
"Bonny Street, Camden Town",16856.0,12750,4106.0,51.5417396,-0.1395327,5,weekday
"Borough High Street, The Borough",11664.0,9385,2279.0,51.5033872,-0.0916469,4,weekday
"Borough Road, Elephant & Castle",8941.0,7467,1474.0,51.4990018,-0.1005769,3,weekday
"Boston Place, Marylebone",20489.0,12949,7540.0,51.524019,-0.1629518,5,weekday
"Bourne Street, Belgravia",9604.0,8071,1533.0,51.4919064,-0.1546587,1,weekend
"Bouverie Street, Temple",8375.0,7754,621.0,51.5133749,-0.107946,3,weekday
"Bow Church Station, Bow",10658.0,8408,2250.0,51.5278468,-0.0209184,0,weekend
"Bow Road Station, Bow",10020.0,8110,1910.0,51.52695929999999,-0.024766,0,weekday
"Braham Street, Aldgate",21392.0,17820,3572.0,51.5141253,-0.0730662,4,weekday
"Bramham Gardens, Earl's Court",18205.0,12805,5400.0,51.4910308,-0.1902836,2,weekday
"Brandon Street, Walworth",9074.0,7064,2010.0,51.490644,-0.092672,3,weekday
"Breams Buildings, Holborn",8797.0,8169,628.0,51.5160706,-0.1105567,3,weekday
"Brick Lane Market, Shoreditch",9919.0,8018,1901.0,51.5234531,-0.0720514999999999,4,weekend
"Bricklayers Arms, Borough",15545.0,12552,2993.0,51.4944187,-0.0849944,4,weekday
"Bridge Avenue, Hammersmith",14667.0,12205,2462.0,51.4919025,-0.2292894,2,weekend
"British Museum, Bloomsbury",15530.0,12721,2809.0,51.5194133,-0.1269566,5,weekday
"Broadcasting House, Marylebone",12629.0,11258,1371.0,51.5188898,-0.1439006,5,weekday
"Broadley Terrace, Marylebone",6333.0,4431,1902.0,51.5241481,-0.1663969,5,weekday
"Broadwick Street, Soho",16374.0,14260,2114.0,51.5134222,-0.1364803,5,weekday
"Bromley High Street, Bow",5941.0,4726,1215.0,51.5282386,-0.0177832,0,weekend
"Brook Green South, Brook Green",6358.0,5360,998.0,51.496182,-0.2198333,2,weekday
"Broomhouse Lane, Parsons Green",4112.0,3433,679.0,51.4681817,-0.1990001,2,weekend
"Brunswick Square, Bloomsbury",14079.0,12099,1980.0,51.5242356,-0.1225832,5,weekday
"Brushfield Street, Liverpool Street",34720.0,37243,-2523.0,51.51875159999999,-0.0814374,4,weekday
"Bruton Street, Mayfair",7099.0,6366,733.0,51.510636,-0.1444704,5,weekday
"Buckingham Gate, Westminster",12668.0,11276,1392.0,51.4993693,-0.1390189,3,weekend
"Bunhill Row, Moorgate",17967.0,16512,1455.0,51.5186852,-0.0890021,4,weekday
"Burdett Road, Mile End",9665.0,8869,796.0,51.5217645,-0.0336929,0,weekend
"Burgess Park Albany Road, Walworth",15009.0,12176,2833.0,51.4832499,-0.0821175,4,weekend
"Bury Place, Holborn",9226.0,7912,1314.0,51.5180399,-0.1238914,3,weekday
"Butler Place, Westminster",8952.0,8232,720.0,51.497948,-0.1354039,3,weekday
