station,hour,pickup_count
"Aberfeldy Street, Poplar",7,1.7881355932203389
"Aberfeldy Street, Poplar",8,1.679245283018868
"Aberfeldy Street, Poplar",9,1.2647058823529411
"Aberfeldy Street, Poplar",10,1.263157894736842
"Aberfeldy Street, Poplar",11,1.1111111111111112
"Aberfeldy Street, Poplar",12,1.225
"Aberfeldy Street, Poplar",13,1.2307692307692308
"Aberfeldy Street, Poplar",14,1.2622950819672132
"Aberfeldy Street, Poplar",15,1.1971830985915493
"Aberfeldy Street, Poplar",16,1.264
"Aberfeldy Street, Poplar",17,1.421487603305785
"Aberfeldy Street, Poplar",18,1.376865671641791
"Aberfeldy Street, Poplar",19,1.3255813953488371
"Aberfeldy Street, Poplar",20,1.411764705882353
"Aberfeldy Street, Poplar",21,1.25
"Aberfeldy Street, Poplar",22,1.2894736842105263
"Aberfeldy Street, Poplar",23,1.0740740740740742
"Abingdon Green, Westminster",0,1.3333333333333333
"Abingdon Green, Westminster",1,1.5
"Abingdon Green, Westminster",2,1.4444444444444444
"Abingdon Green, Westminster",3,2.0
"Abingdon Green, Westminster",4,1.0
"Abingdon Green, Westminster",5,1.1304347826086956
"Abingdon Green, Westminster",6,1.1029411764705883
"Abingdon Green, Westminster",7,1.2457627118644068
"Abingdon Green, Westminster",8,1.7379679144385027
"Abingdon Green, Westminster",9,1.5888888888888888
"Abingdon Green, Westminster",10,1.7777777777777777
"Abingdon Green, Westminster",11,2.066265060240964
"Abingdon Green, Westminster",12,2.372448979591837
"Abingdon Green, Westminster",13,2.537117903930131
"Abingdon Green, Westminster",14,2.5726872246696035
"Abingdon Green, Westminster",15,3.12
"Abingdon Green, Westminster",16,4.214814814814815
"Abingdon Green, Westminster",17,6.311355311355311
"Abingdon Green, Westminster",18,4.896296296296296
"Abingdon Green, Westminster",19,3.0382978723404257
"Abingdon Green, Westminster",20,2.111801242236025
"Abingdon Green, Westminster",21,1.6614173228346456
"Abingdon Green, Westminster",22,1.5294117647058822
"Abingdon Green, Westminster",23,1.5
"Abingdon Villas, Kensington",0,1.0869565217391304
"Abingdon Villas, Kensington",1,1.4444444444444444
"Abingdon Villas, Kensington",2,1.125
"Abingdon Villas, Kensington",3,1.0
"Abingdon Villas, Kensington",4,1.5
"Abingdon Villas, Kensington",5,1.7757847533632287
"Abingdon Villas, Kensington",6,1.0689655172413792
"Abingdon Villas, Kensington",7,1.6699029126213591
"Abingdon Villas, Kensington",8,3.16793893129771
"Abingdon Villas, Kensington",9,1.8433179723502304
"Abingdon Villas, Kensington",10,1.6790123456790123
"Abingdon Villas, Kensington",11,1.5534591194968554
"Abingdon Villas, Kensington",12,1.5323741007194245
"Abingdon Villas, Kensington",13,1.4682539682539681
