name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"London, England, United Kingdom",2024-01-02T02:00:00,12.3,12.3,10.6,89.39,0,0,,0,0,28.9,15.9,247,989.2,97,15.9,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T03:00:00,12,12,9.6,85.25,0,0,,0,0,24.2,17,251,990.2,84.8,13,0,0,0,,Partially cloudy,partly-cloudy-night,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T04:00:00,11.6,11.6,8.8,82.97,0,0,,0,0,20.8,11.5,237,990.7,97,11,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T05:00:00,11.5,11.5,8.9,83.53,0,0,,0,0,16.1,10.6,224,990.4,78.7,9.3,0,0,0,,Partially cloudy,partly-cloudy-night,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T06:00:00,11.8,11.8,8.9,81.9,7.95,100,rain,0,0,16.1,10.6,221,990.3,80.9,6,0,0,0,,"Rain, Partially cloudy",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T07:00:00,11.6,11.6,9.4,85.81,0,0,,0,0,19.7,9.9,214,990.1,93.1,6.6,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T08:00:00,11.1,11.1,9.7,90.51,0,0,,0,0,16.1,7.1,183,988.7,93.1,5,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T09:00:00,11,11,10.1,94.19,0.004,100,rain,0,0,11.4,6.8,162,987.2,93.1,3.1,0,0,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T10:00:00,11.1,11.1,10.3,94.82,0.004,100,rain,0,0,23,11.4,159,985.3,96.2,4.1,21,0.1,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T11:00:00,12.3,12.3,11.5,94.86,0.002,100,rain,0,0,24.2,13.2,206,983.5,93.1,5.2,32,0.1,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T12:00:00,12.5,12.5,11.5,93.65,0.026,100,rain,0,0,33.3,17.4,196,981.4,96.2,2.1,19,0.1,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T13:00:00,12.8,12.8,11.6,92.42,0.004,100,rain,0,0,34.4,19.9,210,979.4,96.2,3.9,46,0.2,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T14:00:00,13.6,13.6,11.2,84.91,0.001,100,rain,0,0,35.8,20.2,217,977.7,96.2,6.2,44,0.2,0,,"Rain, Overcast",rain,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T15:00:00,12.5,12.5,10.3,86.48,0,0,,0,0,50.8,25.1,233,976.5,93.1,7.4,11,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T16:00:00,11.8,11.8,6.4,69.06,0,0,,0,0,56.4,36.5,250,979,93.1,15.9,0,0,0,,Overcast,wind,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T17:00:00,11.5,11.5,6.9,72.92,0,0,,0,0,47.2,32.7,257,981.7,77.7,16.1,0,0,0,,Partially cloudy,wind,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T18:00:00,11.5,11.5,6.7,71.91,0,0,,0,0,40.3,27.7,264,983.3,97,13.9,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T19:00:00,11,11,6.9,75.37,0,0,,0,0,33.3,26.1,257,984.7,97,9.8,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T20:00:00,11.1,11.1,6.3,72.31,0,0,,0,0,39.1,24.5,257,986.2,100,10.1,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T21:00:00,11,11,6.1,71.79,0,0,,0,0,34.4,20.4,250,986.9,97,9.7,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T22:00:00,10.6,10.6,6.1,73.73,0,0,,0,0,27.7,17.9,247,987.8,57.8,9.5,0,0,0,,Partially cloudy,partly-cloudy-night,"F6665,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-02T23:00:00,10.6,10.6,6.5,75.8,0,0,,0,0,30,16.7,240,988.3,97,9.1,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-03T00:00:00,10.6,10.6,6.3,74.76,0,0,,0,0,30,16,244,988.7,97,9.3,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-03T01:00:00,9.6,6.8,6.1,78.82,0,0,,0,0,23,13.1,234,988.7,30,8.5,0,0,0,,Partially cloudy,partly-cloudy-night,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-03T02:00:00,9.8,7.2,6.7,80.52,0,0,,0,0,19.7,12.3,230,988.3,37.7,7.6,0,0,0,,Partially cloudy,partly-cloudy-night,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-03T03:00:00,9.8,7.6,6.7,80.51,0,0,,0,0,19.7,10.3,221,988.2,59.3,8.7,0,0,0,,Partially cloudy,partly-cloudy-night,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-03T04:00:00,9.8,7.1,6.8,81.6,0,0,,0,0,23,13.3,240,988.2,84.5,9.9,0,0,0,,Partially cloudy,partly-cloudy-night,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-03T05:00:00,10.1,10.1,6.6,78.88,0,0,,0,0,27.7,15.9,250,988.7,93.1,11,0,0,0,,Overcast,cloudy,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-03T06:00:00,9.6,6.7,6.5,81.01,0,0,,0,0,25.3,14,237,989.2,65.4,10.1,0,0,0,,Partially cloudy,partly-cloudy-night,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-03T07:00:00,9.3,6.5,5.8,78.79,0,0,,0,0,20.8,12.6,234,989.3,49.8,8.9,0,0,0,,Partially cloudy,partly-cloudy-night,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-03T08:00:00,9.3,6.9,6,79.88,0,0,,0,0,16.1,10.3,224,989.4,77.6,7.8,0,0,0,,Partially cloudy,partly-cloudy-night,"D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-03T09:00:00,10,10,6.6,79.45,0,0,,0,0,19.7,10.6,220,989.3,62.2,6.8,18,0.1,0,,Partially cloudy,partly-cloudy-day,"03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2024-01-03T10:00:00,10.5,10.5,7,78.97,0,0,,0,0,19.7,12.1,230,989.2,65.3,7.6,120,0.4,1,,Partially cloudy,partly-cloudy-day,"D5621,03781099999,03672099999,03772099999,03770099999"
